STABR,YEAR,POPU_LSA,CENTLIB,BRANLIB,BKMOB,BKVOL,EBOOK,VISITS
IL,2011,11708975,626,161,23,44137446,849606,83234090
IN,2011,5814664,238,195,26,24342115,247565,38424569
KS,2011,2448177,328,48,3,9629194,18241,15185918
KY,2011,4339367,118,84,77,8953129,342160,19828028
LA,2011,4597547,68,273,29,11875522,141861,16370050
MA,2011,6591875,370,94,4,32639707,1240181,41709744
MD,2011,5633597,14,171,18,12952726,293274,30552823
ME,2011,1345012,266,6,0,6294045,346974,7079003
MI,2011,9916570,386,266,10,34097903,624873,58310459
MN,2011,5792542,128,230,9,15457078,2388505,27494785
MO,2011,5477565,140,223,26,17068855,219013,31338862
MP,2011,53883,1,1,0, , , 
MS,2011,2985340,47,189,1,5697599,43553,10078558
MT,2011,994226,81,30,2,2781359,420504,4599660
NC,2011,9586227,66,319,27,16620298,375991,41600759
ND,2011,605943,81,10,11,2420597,119002,2364311
NE,2011,1455023,268,18,7,6103479,459127,8758371
NH,2011,1444037,230,5,0,6012157,885130,7917451
NJ,2011,9289883,297,142,14,29112554,909614,49260931
NM,2011,1609577,92,25,1,4600113,17325,8012561
NV,2011,2724634,19,69,3,4522526,136315,11096750
NY,2011,19130606,755,311,6,71909164,2533051,115100696
OH,2011,11539589,239,476,54,44570058,6155509,88241658
OK,2011,3076121,117,91,2,7394194,71605,13891408
OR,2011,3642068,122,94,8,9914989,1202795,23750882
PA,2011,12450859,451,183,28,27362982,1555385,47832086
PR,2011,3891901,55,51,1,372726,30056,689439
RI,2011,1431901,47,25,2,4585287,237373,6104226
SC,2011,4652360,42,150,31,9479848,69175,18222718
SD,2011,997024,112,33,4,3045745,32692,4038539
TN,2011,6314404,185,102,3,11444615,47979,21049539
TX,2011,23241661,559,309,8,41366874,554889,76537791
UT,2011,2790276,58,67,17,6800028,63370,19616525
VA,2011,7786699,80,274,30,18722948,831508,41393505
VI,2011,106405,0,5,1, , , 
VT,2011,729948,182,3,5,3070730,9835,3880208
WA,2011,6647030,53,282,26,13983111,379757,44773438
WI,2011,5694236,379,81,6,19648257,6808622,35907727
WV,2011,1808350,97,78,6,5355772,66662,5808957
WY,2011,563626,23,53,2,2449702,558,3832722
AK,2010,710231,90,16,1,2507437,99411,3464415
AL,2010,4661900,214,78,14,9684762,447204,17318112
AR,2010,2780891,55,166,1,6626025,27274,10516729
AZ,2010,6473587,87,133,11,8970028,277175,29173271
CA,2010,38647288,165,942,60,74753745,754316,178979300
CO,2010,4994131,100,150,14,11751815,244741,33214090
CT,2010,4293999,195,47,9,15604653,33813,24971599
DC,2010,601723,1,24,0,1904030,12782,2756018
DE,2010,780379,19,13,2,1857957,3805,4492732
FL,2010,19049688,60,465,31,33057478,1014811,87890280
GA,2010,10069700,61,331,17,16764666,32469,39392010
GU,2010,180692,1,5,1,204503,0,84019
HI,2010,1295178,1,50,3,3465926,13516,5337300
IA,2010,2985761,541,22,4,12199714,22813,19787718
ID,2010,1388152,102,39,11,4328199,19751,8810745
IL,2010,11802452,634,161,23,45333092,652788,83072172
IN,2010,5814664,238,196,32,25628160,116610,40505627
KS,2010,2391568,328,47,4,10171769,8340,15490365
KY,2010,4307968,117,83,81,9027972,149133,19764339
LA,2010,4550550,68,268,28,11912594,64517,16771877
MA,2010,6618134,370,95,4,32846936,221579,42979071
MD,2010,5633514,15,169,18,13954140,91595,33662473
ME,2010,1372995,266,6,0,6449323,158463,6952079
MI,2010,9935266,380,274,11,35339085,347536,59474967
MN,2010,5773465,128,229,11,15592282,2149244,28325453
MO,2010,5124595,138,223,27,17384031,202712,31632378
MP,2010,53883,1,1,0, , , 
MS,2010,2968217,47,188,2,5569213,17082,9846723
MT,2010,900302,80,30,2,2793709,304178,4528004
NC,2010,9382609,66,321,29,16754991,338882,44295133
ND,2010,585436,80,10,12,2467859,55277,2445613
NE,2010,1479165,268,18,7,6212552,401272,8801357
NH,2010,1450770,230,5,0,6016349,219966,8115058
NJ,2010,9011359,300,148,12,30072835,293163,50754181
NM,2010,1588981,91,27,1,4518130,11907,8324986
NV,2010,2717656,19,67,4,4544795,79647,11601757
NY,2010,19121677,755,311,6,73077567,1094527,117795146
OH,2010,11551941,240,480,58,45224425,2876069,88255852
OK,2010,3038187,116,91,6,7352210,9520,15808147
OR,2010,3657597,122,94,8,10052777,635724,25034546
PA,2010,12054201,451,183,29,27790282,642913,47188171
PR,2010,4141264,54,36,1,286707,7,465160
RI,2010,1430385,47,26,2,4636067,82642,6279148
SC,2010,4316219,41,152,31,9575400,70711,18282842
SD,2010,769444,112,35,6,3085554,57075,4045100
TN,2010,6270431,186,103,3,11836785,31539,21161771
TX,2010,23046594,563,304,8,41981353,246389,79148930
UT,2010,2782823,58,68,17,6873251,84244,19463143
VA,2010,7729858,80,274,30,18921470,881294,42597164
VI,2010,106405,0,5,1, , , 
VT,2010,726115,182,3,5,3089417,4386,3865988
WA,2010,6608234,53,282,26,14890067,176406,45159401
WI,2010,5695950,378,82,6,19793933,2746153,36462668
WV,2010,1808350,97,77,7,5263708,25016,6154742
WY,2010,544270,23,53,2,2497545,456,3872783
AK,2009,692314,87,16,1,2531560,24497,3531925
AL,2009,4627854,209,74,16,9545805,435850,16944715
AR,2009,2689282,49,168,3,6578483,31192,10660058
AZ,2009,6695336,84,131,10,8806682,284188,29624406
CA,2009,38291890,166,956,65,75298691,490410,182181408
CO,2009,4951458,100,152,12,11915668,166486,32811620
CT,2009,4301371,195,47,9,15645789,49577,24658811
DC,2009,599657,1,24,0,2129573,11059,2944774
DE,2009,782397,19,13,2,1701264,2147,4357495
FL,2009,19008947,60,463,29,32642991,863061,89381144
GA,2009,9446298,61,328,17,16341056,28145,40922598
GU,2009,175459,1,5,1,210079,0,60763
HI,2009,1288198,1,50,2,3382741,12585,6019676
IA,2009,3048640,541,20,4,12143110,18795,19466908
ID,2009,1371458,102,39,11,4275337,14532,9149417
IL,2009,11766433,634,160,24,45250430,575988,82481517
IN,2009,5822055,238,194,32,25672189,115016,42204890
KS,2009,2376749,328,50,5,10313740,17614,15673977
KY,2009,4231743,117,81,83,8849006,147578,19113478
LA,2009,4514209,68,265,28,11651158,66782,15591805
MA,2009,6521887,370,95,4,32968559,142647,42237888
MD,2009,5616727,15,169,18,13891606,64413,34474171
ME,2009,1361714,269,6,0,6535940,126207,7193930
MI,2009,9938604,379,276,12,35539487,273304,59125530
MN,2009,5776114,128,232,13,15534742,2037270,29544412
MO,2009,5124595,138,222,29,17591577,219068,30347136
MP,2009, , , , , , , 
MS,2009,2959946,47,190,2,5556483,17882,9456124
MT,2009,900302,80,30,2,2731190,261886,4386504
NC,2009,9227016,66,323,34,16907341,288535,44408938
ND,2009,583330,84,9,13,2575011,40902,2513725
NE,2009,1466755,269,18,7,6345141,387262,9182199
NH,2009,1437436,230,5,0,6216733,33962,7677930
NJ,2009,9016064,301,150,12,30229507,124677,51019258
NM,2009,1568545,91,27,1,4615028,5865,7800479
NV,2009,2711056,19,67,5,4781506,67410,11584739
NY,2009,19097977,755,312,6,75760289,705764,119810969
OH,2009,11542032,239,485,64,45818148,1321651,92402369
OK,2009,3005997,115,91,5,7277804,11695,21171452
OR,2009,3639023,123,88,9,9927444,40060,24681438
PA,2009,12094096,453,179,33,28179842,769402,49246073
PR,2009,7521620,48,13,1,260985,180,445879
RI,2009,1298048,48,24,2,4333934,13763,6813919
SC,2009,4318338,41,152,31,9429631,65639,18105931
SD,2009,751902,112,36,8,3095596,55842,3976320
TN,2009,6189071,186,103,5,11753799,49609,21545326
TX,2009,22650832,559,306,8,41749029,255670,79151722
UT,2009,2734137,57,64,18,6744272,65251,19037603
VA,2009,7660382,79,269,29,19150672,860664,42300780
VI,2009, , , , , , , 
VT,2009,718907,182,3,5,2963910,8194,3932070
WA,2009,6544250,54,281,26,15376906,81463,44123917
WI,2009,5687715,377,80,8,19955835,3387509,36481000
WV,2009,1808350,97,76,7,5212807,10087,6081791
WY,2009,532668,23,53,2,2484239,437,3756294
AK,2008,679720,86,16,2,2491164,14204,3472740
AL,2008,4437691,209,79,16,9615216,425341,15477454
AR,2008,2703770,46,170,3,6449815,31394,9908666
AZ,2008,6489400,81,126,10,8619469,260136,26196458
CA,2008,38048664,167,950,63,74197108,404320,171873378
CO,2008,4861210,101,149,10,12039091,145793,30665954
CT,2008,4307236,195,47,9,15608847,55886,23774657
DC,2008,588292,1,26,1,2063269,1999,2704709
DE,2008,789788,19,14,2,1991350,1,4360697
FL,2008,18981816,60,458,29,32736454,842813,84363237
GA,2008,9319532,59,328,17,16087473,72424,36979778
GU,2008,25984,1,5,1,211772, ,70061
HI,2008,1283388,1,50,2,3398837,9139,5891392
IA,2008,2964393,539,20,4,12235077,44663,18533839
ID,2008,1352012,102,38,10,4191906,5929,8549988
IL,2008,11681379,634,157,24,45263499,506152,77552921
IN,2008,5822055,238,196,35,25873311,91767,41168334
KS,2008,2367493,327,49,5,10381308,12300,14670670
KY,2008,4204319,116,80,87,8674170,132860,18512133
LA,2008,4433144,68,264,28,11640929,58960,14631927
MA,2008,6475422,370,104,4,32713115,138169,42169245
MD,2008,5600388,15,168,18,14377604,31972,32814310
ME,2008,1375269,272,6,0,6504982,2983,7187590
MI,2008,9961909,379,278,14,34555522,193820,54390124
MN,2008,5641935,128,232,13,14762302,2065410,28793229
MO,2008,5121498,140,219,29,18034229,228625,28353441
MP,2008, , , , , , , 
MS,2008,2960036,47,190,2,5529883,13183,8859413
MT,2008,900302,80,30,2,2731780,259230,4063228
NC,2008,9069398,66,323,35,16833062,256183,37600315
ND,2008,570584,80,10,13,2452570,41654,2426199
NE,2008,1387898,270,17,8,6643297,370749,8983130
NH,2008,1441692,231,5,0,6209619,49063,7301682
NJ,2008,9029752,303,151,12,30341614,113658,49288639
NM,2008,1554814,91,27,3,4577785,5572,7486926
NV,2008,2738733,19,66,5,5405470,62112,10955919
NY,2008,19078647,753,316,8,74634849,592937,117214130
OH,2008,11511499,241,484,64,46893342,631233,92279510
OK,2008,2978712,115,91,5,7248869,7307,14550985
OR,2008,3350983,123,89,11,9407343,25473,22267206
PA,2008,12060399,452,177,34,29837309,717435,48315144
PR,2008,2709632,35,9,0,273009,127,427958
RI,2008,1298048,48,24,2,4419968,9675,6330024
SC,2008,4414387,41,148,33,9420581,64949,16769920
SD,2008,716971,114,36,8,3134055,61076,3922009
TN,2008,6082057,187,102,6,11594877,65388,20454468
TX,2008,22261813,561,303,12,41796507,224122,74220681
UT,2008,2636319,55,61,18,6555620,38942,17486786
VA,2008,7661394,79,264,31,19181230,836355,39888117
VI,2008, , , , , , , 
VT,2008,730847,180,3,7,2900490,46,3893460
WA,2008,6458043,55,279,26,16433203,63835,42271449
WI,2008,5674228,378,80,8,19843392,3008483,35467185
WV,2008,1808350,97,76,7,5119205,5135,6007868
WY,2008,522830,23,53,2,2446747,440,3559970
AK,2007,676987,87,17,2,2444753,5694,3432380
AL,2007,4298340,207,79,16,9494837,424836,15305968
AR,2007,2693617,44,170,3,6223661,23978,9405280
AZ,2007,6286572,78,120,9,9144734,256857,24754129
CA,2007,37661714,167,940,63,74960844,344288,159251887
CO,2007,4756390,101,147,11,11728040,151863,28943009
CT,2007,4294806,195,50,7,15527582,45757,22894632
DC,2007,581530,1,26,1,2097109,0,2144005
DE,2007,789788,19,14,2,1921377,1,4416781
FL,2007,18829352,60,447,31,31994913,788392,78933826
GA,2007,9098140,58,327,19,15663520,40716,35703912
GU,2007, , , , , , , 
HI,2007,1285498,1,50,2,3375658,9473,5729828
IA,2007,2851214,539,20,5,12297187,38882,17871809
ID,2007,1329416,102,37,8,4100222,1237,7938966
IL,2007,11584386,623,158,24,43154676,617662,75078913
IN,2007,5813202,239,194,39,25359868,82427,39219775
KS,2007,2356166,326,49,5,11105743,11661,14939289
KY,2007,4168865,116,80,84,8601945,121147,17769379
LA,2007,4325163,67,260,27,11449837,43358,14449951
MA,2007,6461287,370,106,4,32435921,98331,39539172
MD,2007,5558058,15,168,16,14549555,43369,28842693
ME,2007,1377895,272,6,0,6494519,912,6964104
MI,2007,9963075,381,277,16,34387914,162604,51777262
MN,2007,5650065,129,230,14,15835524,2083476,28266377
MO,2007,5125706,140,220,29,18433496,200309,27032571
MP,2007, , , , , , , 
MS,2007,2939898,47,191,2,5702657,8969,8210656
MT,2007,900302,80,29,2,2780578,239212,3934580
NC,2007,8860341,66,322,35,16535809,192798,36290362
ND,2007,569581,79,10,13,2367963,40973,2669102
NE,2007,1338331,271,17,8,6735000,303152,9567718
NH,2007,1435996,230,5,0,6116351,35057,6768569
NJ,2007,9036929,303,151,12,30673138,78761,46603746
NM,2007,1532478,91,26,3,4581565,5592,7141366
NV,2007,2718336,19,66,5,4632523,44705,10406240
NY,2007,19054090,752,315,9,72956329,573816,112989000
OH,2007,11500179,244,476,71,46974155,512455,87763535
OK,2007,2944109,113,91,4,7144332,7504,14276083
OR,2007,3375003,125,90,11,9504668,51113,21343970
PA,2007,12056257,452,177,34,30114174,678505,47198761
RI,2007,1315757,49,24,2,4376489,5883,6147439
SC,2007,4326179,41,145,33,9175792,61969,15731240
SD,2007,698623,123,22,8,3131019,51548,4012883
TN,2007,6006714,187,103,6,11439131,497271,19706948
TX,2007,21897575,562,302,12,41798584,195191,72001840
UT,2007,2570830,55,61,21,6587209,28824,16729941
VA,2007,7580562,78,264,31,19001696,721368,36786210
VI,2007, , , , , , , 
VT,2007,731568,180,3,9,2865252,443,3818695
WA,2007,6360694,57,275,25,17457819,48743,39543377
WI,2007,5648124,379,79,7,19595734,3171687,34300089
WV,2007,1808350,97,76,6,5022689,5064,5905309
WY,2007,515004,23,52,2,2429382,260,3280853
AK,2006,670053,90,17,2,2386779,3178,3510457
AL,2006,4371363,205,79,17,9356971,437299,14363581
AR,2006,2937179,46,168,3,6169859,21833,9042394
AZ,2006,6015326,83,114,8,8929694,92165,22664406
CA,2006,37151832,166,933,63,73705631,301355,152326008
CO,2006,4623675,101,144,11,11718773,123184,28428202
CT,2006,4292910,194,50,7,15658188,30517,22828907
DC,2006,582049,1,22,1,2172072,0,1820739
DE,2006,849234,19,14,2,1933269,1,4273303
FL,2006,18495935,60,442,31,32554005,1009161,75941406
GA,2006,8789529,58,320,20,15184798,43545,31952301
GU,2006, , , , , , , 
HI,2006,1275194,1,50,2,3308384,7751,5278260
IA,2006,2851214,539,19,5,12199803,32391,17199816
ID,2006,1294930,102,36,7,4005623,1093,7646115
IL,2006,11497996,622,163,24,43304549,408652,67737324
IN,2006,5811622,239,198,39,24575756,75261,38827856
KS,2006,2326858,325,49,5,11024093,44717,15361065
KY,2006,4136173,116,79,84,8581854,103553,16727761
LA,2006,4298200,66,265,27,11035941,25555,13270826
MA,2006,6422907,370,111,4,32318700,43728,38935027
MD,2006,5508909,16,167,16,14553710,48590,28575298
ME,2006,1378867,272,6,0,6410833,1031,6711799
MI,2006,9980884,377,279,17,33920913,176482,50241855
MN,2006,5606957,129,228,14,15721999,2009385,27705518
MO,2006,5122264,150,225,32,18048881,184697,25798533
MP,2006, , , , , , , 
MS,2006,2931545,47,189,2,5629511,8829,7907318
MT,2006,900302,80,29,2,2803209,213082,4057664
NC,2006,8590249,65,315,35,16086423,128910,33865147
ND,2006,577379,82,10,13,2332465,33349,2682984
NE,2006,1423132,269,16,8,6745469,297711,9180045
NH,2006,1433530,230,7,1,6063813,73339,6602867
NJ,2006,9040608,304,148,13,30738481,52607,46213909
NM,2006,1471868,90,25,3,4443534,35897,6934346
NV,2006,2621643,19,75,5,4472493,41160,10260257
NY,2006,19039084,753,315,9,74403406,362142,109985850
OH,2006,11476284,244,478,71,46895732,522807,86257938
OK,2006,2918548,112,91,4,7008874,6351,13611786
OR,2006,3314668,127,88,11,9208516,20595,20515441
PA,2006,12180588,452,179,34,29706419,92621,46032568
RI,2006,1307319,49,24,2,4393850,2267,6313401
SC,2006,4284727,41,145,35,9056463,49298,15213988
SD,2006,699561,124,21,8,3204577,53874,3739704
TN,2006,5949775,186,102,6,11144350,155330,18816444
TX,2006,21212700,561,302,12,41862715,146493,69196449
UT,2006,2468214,55,59,21,6466221,18043,17349960
VA,2006,7512676,78,264,31,18420242,686366,35798979
VI,2006, , , , , , , 
VT,2006,731182,180,3,10,2844730,119,3795890
WA,2006,6251236,56,274,25,17317121,46237,39608001
WI,2006,5617744,379,78,8,19947141,3044398,33926372
WV,2006,1808350,97,76,7,4935165,4516,6089422
WY,2006,507061,23,51,2,2334254,105,3246597
