STABR,YEAR,POPU_LSA,CENTLIB,BRANLIB,BKMOB,BKVOL,EBOOK,VISITS
AZ,2018,11163726,84,138,10,7735596,6632211,23439707
CA,2018,39792954,199,971,52,65468846,16267659,160320583
CO,2018,5576888,96,167,13,9573880,3500009,31085356
CT,2018,4367169,192,47,5,13473862,2796190,20423515
DC,2018,702455,0,26,0,1003834,30301,3632539
DE,2018,967974,19,14,2,1391278,517986,4122181
FL,2018,21495360,60,477,20,26890473,6634914,68479850
GA,2018,10637029,62,333,9,15566186,865932,26835701
GU,2018,167358,1,5,0,276631,0,75119
HI,2018,1427538,1,50,2,2904696,93179,3456131
IA,2018,3096822,544,24,4,11835480,20303893,16676677
ID,2018,1430095,100,49,12,4208402,594463,8180954
IL,2018,11725902,623,161,16,39423902,28046304,63475941
IN,2018,6207854,235,190,23,21346938,9472517,30836051
KS,2018,2510372,324,46,8,8793941,36765582,13483333
KY,2018,4461587,120,84,73,8926591,15485842,17013207
LA,2018,4682276,67,270,24,11589362,5364069,16227594
MA,2018,6823450,369,92,7,29215324,19092481,39926583
MD,2018,6006401,15,177,22,10750102,2283056,24976429
ME,2018,1315477,256,4,1,6082328,2573626,6747975
MI,2018,9852214,395,248,8,27293955,11666961,44766519
MN,2018,5918676,128,228,9,13594159,5874320,22952388
MO,2018,5483526,140,226,23,15968472,6401557,24691684
MP,2018,51994,1,2,1,92000,5000,126778
MS,2018,3005062,53,183,3,5570047,1107029,7608881
MT,2018,988533,82,36,6,2448227,1589175,4332900
NC,2018,10272692,69,321,20,15446036,8015383,31263894
ND,2018,684807,78,8,12,2176439,1034484,2217929
NE,2018,1584326,245,19,8,5642522,4665489,7456884
NH,2018,1463071,225,6,0,5689733,6194874,7045010
NJ,2018,9403702,295,143,12,25699210,10043792,40960712
NM,2018,1499356,96,28,1,4182485,857894,6908686
NV,2018,2985676,20,64,3,3841636,603035,9334070
NY,2018,19548630,755,313,12,65596015,33912817,97921323
OH,2018,11502271,239,479,56,39485746,98929578,68176967
OK,2018,3235213,119,96,3,6230792,4763448,13399265
OR,2018,3799025,134,87,6,8798725,7303131,19657317
PA,2018,12442813,447,174,22,24144319,27988200,40885876
RI,2018,1424662,47,24,2,3390958,3160067,5490076
SC,2018,4652360,42,155,31,8580829,2674231,13989511
SD,2018,1272848,110,30,4,2766567,1591363,3824804
TN,2018,6548004,186,97,3,10961559,22437424,18102460
TX,2018,26119839,557,326,11,38462301,14469114,66180796
UT,2018,3053828,64,63,15,6399687,3175961,15358368
VA,2018,8374184,84,275,23,15785390,16933624,33943329
VI,2018,106405,0,4,3, , , 
VT,2018,676017,183,3,4,2975733,1195738,3526357
WA,2018,7310506,53,295,30,12268162,4497017,37338635
WI,2018,5816231,378,81,5,17861672,58724841,30108208
WV,2018,1852994,97,74,9,4896731,7071471,4944242
WY,2018,579315,23,53,2,2228632,893215,3338772
AK,2017,649636,79,16,1,2241681,1190695,3403598
AL,2017,4858979,222,73,15,8835816,4551754,14583055
AR,2017,2925255,54,181,3,6078553,1426355,10358181
AS,2017,60300,1,1,0,43208,1265,67848
AZ,2017,10986792,85,136,11,7585916,4377983,24588717
CA,2017,39507301,165,959,50,62110372,13594513,151058515
CO,2017,5505446,96,165,13,9517379,2815454,31975615
CT,2017,4352795,192,47,4,12958177,2234013,21051597
DC,2017,693972,1,25,0,1049225,28621,3593201
DE,2017,952079,19,13,2,1434022,496671,4117904
FL,2017,20790357,59,474,21,28147847,5201706,66753349
GA,2017,10508053,62,334,9,16218983,771609,28816233
GU,2017,164229,1,5,0,272720,200,81572
HI,2017,1428557,1,49,2,2921878,82228,4135229
IA,2017,3089315,543,24,4,11704866,14712292,17245764
ID,2017,1424168,99,49,12,4232266,515011,8029503
IL,2017,11714654,622,162,17,39946369,21830848,66174632
IN,2017,6207897,235,190,29,21369975,8637093,31849195
KS,2017,2503572,324,46,8,8808817,33481802,13737900
KY,2017,4436974,119,84,74,8919189,12955130,17909495
LA,2017,4705141,67,268,26,11736841,3163760,17211007
MA,2017,6783954,370,91,7,29802168,18451578,40457299
MD,2017,5979685,14,176,20,10729087,1549919,26089963
ME,2017,1350152,262,4,1,6164659,2211793,6801263
MI,2017,9845888,394,249,8,27948095,8403781,46052561
MN,2017,5863045,129,227,8,13772728,5230144,23357139
MO,2017,5494417,138,226,24,15706443,4148257,26134084
MP,2017,53883,1,2,0,92141,5000,104224
MS,2017,3007796,52,184,3,5484276,625855,8581994
MT,2017,988533,82,35,6,2505404,1432327,4215484
NC,2017,10155942,70,319,20,15526913,6418337,32621293
ND,2017,687790,79,8,12,2226687,888594,2169343
NE,2017,1574606,245,19,8,5541132,4473071,7733678
NH,2017,1443959,225,5,0,5672611,4795955,7028800
NJ,2017,9403702,295,142,12,25711909,6334887,42190832
NM,2017,1499356,96,28,1,4143329,685363,7036582
NV,2017,2952338,20,64,3,3914625,655320,9684935
NY,2017,19542753,755,312,11,68128577,28445930,100012193
OH,2017,11510467,239,477,56,39581237,81436463,71895854
OK,2017,3232638,119,95,3,6422730,3456273,13491194
OR,2017,3807788,135,87,6,8961081,7111538,20269191
PA,2017,12427301,449,172,23,24237863,26462269,42251845
RI,2017,1424662,47,24,2,3461135,2593546,5669309
SC,2017,4652360,41,153,31,8637233,1722307,14567585
SD,2017,1265489,111,30,4,2752455,1244411,3699962
TN,2017,6485230,186,98,3,11262031,21177890,19396554
TX,2017,25699219,556,326,11,38410864,10331800,70521177
UT,2017,3004784,64,62,15,6404258,1647256,15327363
VA,2017,8317328,85,274,23,16307762,9779562,34563079
VT,2017,686918,183,3,4,2667177,245487,3673501
WA,2017,7200631,55,293,31,12695951,3851806,37987670
WI,2017,5783278,378,81,5,18083885,62894780,30877274
WV,2017,1852994,97,75,8,4946854,3799222,5231251
WY,2017,585501,23,53,2,2246273,481712,3367413
AK,2016,655885,88,16,1,2197352,676269,3492104
AL,2016,4849377,223,72,16,9051779,3956569,15648457
AR,2016,2923845,54,181,3,6003247,597081,10596035
AS,2016,60200,1,1,0,42718,1265,63166
AZ,2016,10783977,85,136,11,7662617,2410119,25320786
CA,2016,39239277,166,953,49,62769688,10732662,155615470
CO,2016,5425397,97,164,13,10526011,2651543,32013932
CT,2016,4369520,192,47,4,13121586, ,21603777
DC,2016,681170,1,25,0,1862550,244210,3930763
DE,2016,945314,19,13,2,1531692,473424,4125899
FL,2016,20206713,60,473,20,29261437,3132511,70991029
GA,2016,10379084,62,339,9,16838589,728706,27987249
GU,2016,159358,1,5,0,269270,200,71813
HI,2016,1431603,1,49,2,2967198,58452,4490320
IA,2016,3081393,543,24,3,11760130,8565239,17753953
ID,2016,1393551,99,48,10,4299534,365756,8597955
IL,2016,11716048,622,158,17,40486582,16130126,67336620
IN,2016,6207897,235,192,31,22692975,7102791,33363879
KS,2016,2507735,328,48,7,8999967,29420713,13701512
KY,2016,4425092,119,86,73,9051379,11678625,18028488
LA,2016,4703681,68,270,27,11746077,1735632,20263285
MA,2016,6720911,370,94,6,30289951,28495452,40432790
MD,2016,5928814,14,176,19,10459167,1359524,27481583
ME,2016,1350152,262,4,1,6144983,2027088,6860133
MI,2016,9866725,394,252,8,29485883,5588767,46734166
MN,2016,5779907,129,227,8,14339145,4803133,24063019
MO,2016,5474595,137,225,25,16018931,3580508,27065546
MS,2016,2968537,52,184,3,5599350,166898,8915406
MT,2016,988533,82,35,6,2627187,1359722,4298268
NC,2016,10070144,70,316,20,15583977,4182556,33605264
ND,2016,679618,79,5,11,2222325,814583,2215277
NE,2016,1539445,245,19,7,5605746,4006759,7874580
NH,2016,1455659,228,5,0,5644856,3976422,7246377
NJ,2016,9401743,295,143,12,26512789,4304837,42445297
NM,2016,1649299,97,28,1,4182940,415915,7179663
NV,2016,2897584,20,64,3,4149355,262245,9733359
NY,2016,19529286,755,313,10,68858103,24014644,103081304
OH,2016,11510467,239,475,56,40060067,74262627,74119719
OK,2016,3210425,119,96,4,7350582,2871042,13112511
OR,2016,3849523,135,96,7,9517350,5584626,20621338
PA,2016,12450517,450,170,22,24616600,16604823,44145054
